minutes,name,location
07:23,Raymond Hill,fruit
07:23,Antonio Collins,checkout
07:23,Jessica Gonzalez,dairy
07:23,Stephanie Morris,dairy
07:23,Lisa Jones,dairy
07:23,Brandy Mendez,fruit
07:23,Emma Miller,drinks
07:23,Kyle Pacheco,dairy
07:23,Sarah Ruiz,dairy
07:23,Daniel Decker,entrance
07:23,Mrs. Courtney Mcdaniel,entrance
07:24,Raymond Hill,checkout
07:24,Jessica Gonzalez,dairy
07:24,Stephanie Morris,dairy
07:24,Lisa Jones,dairy
07:24,Brandy Mendez,spices
07:24,Emma Miller,checkout
07:24,Kyle Pacheco,dairy
07:24,Sarah Ruiz,dairy
07:24,Daniel Decker,fruit
07:24,Mrs. Courtney Mcdaniel,fruit
07:25,Jessica Gonzalez,dairy
07:25,Stephanie Morris,dairy
07:25,Lisa Jones,dairy
07:25,Brandy Mendez,spices
07:25,Kyle Pacheco,checkout
07:25,Sarah Ruiz,dairy
07:25,Daniel Decker,fruit
07:25,Mrs. Courtney Mcdaniel,fruit
07:25,Jacqueline Hampton,entrance
07:26,Jessica Gonzalez,dairy
07:26,Stephanie Morris,dairy
07:26,Lisa Jones,drinks
07:26,Brandy Mendez,spices
07:26,Sarah Ruiz,dairy
07:26,Daniel Decker,fruit
07:26,Mrs. Courtney Mcdaniel,fruit
07:26,Jacqueline Hampton,dairy
07:26,Jon Burch,entrance
07:27,Jessica Gonzalez,dairy
07:27,Stephanie Morris,fruit
07:27,Lisa Jones,drinks
07:27,Brandy Mendez,spices
07:27,Sarah Ruiz,dairy
07:27,Daniel Decker,fruit
07:27,Mrs. Courtney Mcdaniel,checkout
07:27,Jacqueline Hampton,drinks
07:27,Jon Burch,spices
07:27,Daniel Taylor,entrance
07:28,Jessica Gonzalez,dairy
07:28,Stephanie Morris,fruit
07:28,Lisa Jones,drinks
07:28,Brandy Mendez,spices
07:28,Sarah Ruiz,spices
07:28,Daniel Decker,fruit
07:28,Jacqueline Hampton,drinks
07:28,Jon Burch,spices
07:28,Daniel Taylor,dairy
07:28,Katherine Moore,entrance
07:28,Jason Morales,entrance
07:29,Jessica Gonzalez,dairy
07:29,Stephanie Morris,dairy
07:29,Lisa Jones,checkout
07:29,Brandy Mendez,drinks
07:29,Sarah Ruiz,dairy
07:29,Daniel Decker,dairy
07:29,Jacqueline Hampton,checkout
07:29,Jon Burch,spices
07:29,Daniel Taylor,dairy
07:29,Katherine Moore,drinks
07:29,Jason Morales,spices
07:29,Michael Cantrell,entrance
07:29,Rodney Bell,entrance
07:30,Jessica Gonzalez,dairy
07:30,Stephanie Morris,checkout
07:30,Brandy Mendez,drinks
07:30,Sarah Ruiz,dairy
07:30,Daniel Decker,dairy
07:30,Jon Burch,spices
07:30,Daniel Taylor,dairy
07:30,Katherine Moore,spices
07:30,Jason Morales,spices
07:30,Michael Cantrell,spices
07:30,Rodney Bell,dairy
07:30,Crystal Ford,entrance
07:31,Jessica Gonzalez,dairy
07:31,Brandy Mendez,spices
07:31,Sarah Ruiz,drinks
07:31,Daniel Decker,dairy
07:31,Jon Burch,drinks
07:31,Daniel Taylor,dairy
07:31,Katherine Moore,drinks
07:31,Jason Morales,dairy
07:31,Michael Cantrell,drinks
07:31,Rodney Bell,dairy
07:31,Crystal Ford,fruit
07:31,Jason Barnes,entrance
07:32,Jessica Gonzalez,dairy
07:32,Brandy Mendez,drinks
07:32,Sarah Ruiz,drinks
07:32,Daniel Decker,dairy
07:32,Jon Burch,checkout
07:32,Daniel Taylor,dairy
07:32,Katherine Moore,checkout
07:32,Jason Morales,dairy
07:32,Michael Cantrell,drinks
07:32,Rodney Bell,dairy
07:32,Crystal Ford,fruit
07:32,Jason Barnes,fruit
07:33,Jessica Gonzalez,dairy
07:33,Brandy Mendez,drinks
07:33,Sarah Ruiz,checkout
07:33,Daniel Decker,dairy
07:33,Daniel Taylor,dairy
07:33,Jason Morales,dairy
07:33,Michael Cantrell,checkout
07:33,Rodney Bell,dairy
07:33,Crystal Ford,fruit
07:33,Jason Barnes,fruit
07:33,Donna Francis,entrance
07:34,Jessica Gonzalez,dairy
07:34,Brandy Mendez,checkout
07:34,Daniel Decker,dairy
07:34,Daniel Taylor,dairy
07:34,Jason Morales,dairy
07:34,Rodney Bell,drinks
07:34,Crystal Ford,fruit
07:34,Jason Barnes,fruit
07:34,Donna Francis,fruit
07:34,Natalie Curry,entrance
07:35,Jessica Gonzalez,drinks
07:35,Daniel Decker,drinks
07:35,Daniel Taylor,dairy
07:35,Jason Morales,fruit
07:35,Rodney Bell,drinks
07:35,Crystal Ford,fruit
07:35,Jason Barnes,fruit
07:35,Donna Francis,checkout
07:35,Natalie Curry,drinks
07:36,Jessica Gonzalez,checkout
07:36,Daniel Decker,fruit
07:36,Daniel Taylor,dairy
07:36,Jason Morales,fruit
07:36,Rodney Bell,drinks
07:36,Crystal Ford,checkout
07:36,Jason Barnes,checkout
07:36,Natalie Curry,drinks
07:37,Daniel Decker,fruit
07:37,Daniel Taylor,dairy
07:37,Jason Morales,spices
07:37,Rodney Bell,drinks
07:37,Natalie Curry,dairy
07:37,Gregory Valencia,entrance
07:37,Michael Massey,entrance
07:38,Daniel Decker,checkout
07:38,Daniel Taylor,dairy
07:38,Jason Morales,dairy
07:38,Rodney Bell,drinks
07:38,Natalie Curry,dairy
07:38,Gregory Valencia,dairy
07:38,Michael Massey,fruit
07:38,Brandon Rose,entrance
07:38,Sandra Estrada,entrance
07:39,Daniel Taylor,dairy
07:39,Jason Morales,dairy
07:39,Rodney Bell,drinks
07:39,Natalie Curry,checkout
07:39,Gregory Valencia,checkout
07:39,Michael Massey,fruit
07:39,Brandon Rose,drinks
07:39,Sandra Estrada,fruit
07:39,Larry Floyd,entrance
07:39,Valerie Parks,entrance
07:40,Daniel Taylor,dairy
07:40,Jason Morales,drinks
07:40,Rodney Bell,drinks
07:40,Michael Massey,fruit
07:40,Brandon Rose,drinks
07:40,Sandra Estrada,fruit
07:40,Larry Floyd,dairy
07:40,Valerie Parks,dairy
07:41,Daniel Taylor,dairy
07:41,Jason Morales,drinks
07:41,Rodney Bell,drinks
07:41,Michael Massey,dairy
07:41,Brandon Rose,fruit
07:41,Sandra Estrada,checkout
07:41,Larry Floyd,dairy
07:41,Valerie Parks,dairy
07:41,Barbara Jones,entrance
07:42,Daniel Taylor,dairy
07:42,Jason Morales,checkout
07:42,Rodney Bell,drinks
07:42,Michael Massey,dairy
07:42,Brandon Rose,fruit
07:42,Larry Floyd,fruit
07:42,Valerie Parks,dairy
07:42,Barbara Jones,fruit
07:42,Jessica Green,entrance
07:42,Emma Garcia,entrance
07:43,Daniel Taylor,dairy
07:43,Rodney Bell,drinks
07:43,Michael Massey,fruit
07:43,Brandon Rose,fruit
07:43,Larry Floyd,checkout
07:43,Valerie Parks,drinks
07:43,Barbara Jones,fruit
07:43,Jessica Green,dairy
07:43,Emma Garcia,dairy
07:44,Daniel Taylor,dairy
07:44,Rodney Bell,spices
07:44,Michael Massey,checkout
07:44,Brandon Rose,dairy
07:44,Valerie Parks,drinks
07:44,Barbara Jones,fruit
07:44,Jessica Green,dairy
07:44,Emma Garcia,dairy
07:44,Michael Shelton,entrance
07:45,Daniel Taylor,fruit
07:45,Rodney Bell,spices
07:45,Brandon Rose,dairy
07:45,Valerie Parks,spices
07:45,Barbara Jones,fruit
07:45,Jessica Green,fruit
07:45,Emma Garcia,dairy
07:45,Michael Shelton,spices
07:46,Daniel Taylor,fruit
07:46,Rodney Bell,drinks
07:46,Brandon Rose,dairy
07:46,Valerie Parks,spices
07:46,Barbara Jones,fruit
07:46,Jessica Green,drinks
07:46,Emma Garcia,drinks
07:46,Michael Shelton,dairy
07:46,Lauren Wilson,entrance
07:46,David Dudley,entrance
07:47,Daniel Taylor,checkout
07:47,Rodney Bell,drinks
07:47,Brandon Rose,dairy
07:47,Valerie Parks,drinks
07:47,Barbara Jones,fruit
07:47,Jessica Green,checkout
07:47,Emma Garcia,drinks
07:47,Michael Shelton,checkout
07:47,Lauren Wilson,spices
07:47,David Dudley,drinks
07:47,Crystal Rodriguez,entrance
07:47,Jenna Garcia,entrance
07:48,Rodney Bell,drinks
07:48,Brandon Rose,drinks
07:48,Valerie Parks,drinks
07:48,Barbara Jones,fruit
07:48,Emma Garcia,drinks
07:48,Lauren Wilson,fruit
07:48,David Dudley,checkout
07:48,Crystal Rodriguez,drinks
07:48,Jenna Garcia,fruit
07:49,Rodney Bell,drinks
07:49,Brandon Rose,drinks
07:49,Valerie Parks,checkout
07:49,Barbara Jones,dairy
07:49,Emma Garcia,fruit
07:49,Lauren Wilson,fruit
07:49,Crystal Rodriguez,drinks
07:49,Jenna Garcia,fruit
07:49,Timothy Owen,entrance
07:50,Rodney Bell,checkout
07:50,Brandon Rose,drinks
07:50,Barbara Jones,dairy
07:50,Emma Garcia,dairy
07:50,Lauren Wilson,fruit
07:50,Crystal Rodriguez,drinks
07:50,Jenna Garcia,fruit
07:50,Timothy Owen,fruit
07:50,Michael Ramirez,entrance
07:51,Brandon Rose,drinks
07:51,Barbara Jones,spices
07:51,Emma Garcia,dairy
07:51,Lauren Wilson,drinks
07:51,Crystal Rodriguez,drinks
07:51,Jenna Garcia,drinks
07:51,Timothy Owen,fruit
07:51,Michael Ramirez,spices
07:51,John Bray,entrance
07:52,Brandon Rose,drinks
07:52,Barbara Jones,checkout
07:52,Emma Garcia,checkout
07:52,Lauren Wilson,drinks
07:52,Crystal Rodriguez,checkout
07:52,Jenna Garcia,drinks
07:52,Timothy Owen,checkout
07:52,Michael Ramirez,dairy
07:52,John Bray,drinks
07:53,Brandon Rose,fruit
07:53,Lauren Wilson,drinks
07:53,Jenna Garcia,drinks
07:53,Michael Ramirez,dairy
07:53,John Bray,fruit
07:54,Brandon Rose,fruit
07:54,Lauren Wilson,drinks
07:54,Jenna Garcia,checkout
07:54,Michael Ramirez,checkout
07:54,John Bray,fruit
07:54,Andrea Lawrence,entrance
07:55,Brandon Rose,fruit
07:55,Lauren Wilson,checkout
07:55,John Bray,spices
07:55,Andrea Lawrence,dairy
07:56,Brandon Rose,dairy
07:56,John Bray,dairy
07:56,Andrea Lawrence,dairy
07:57,Brandon Rose,checkout
07:57,John Bray,dairy
07:57,Andrea Lawrence,dairy
07:58,John Bray,dairy
07:58,Andrea Lawrence,dairy
07:58,Melanie Bruce,entrance
07:59,John Bray,checkout
07:59,Andrea Lawrence,dairy
07:59,Melanie Bruce,fruit
07:59,Anthony Sanchez,entrance
07:59,Dr. Megan Green,entrance
08:00,Andrea Lawrence,dairy
08:00,Melanie Bruce,checkout
08:00,Anthony Sanchez,fruit
08:00,Dr. Megan Green,dairy
08:00,Tonya Murray,entrance
08:01,Andrea Lawrence,dairy
08:01,Anthony Sanchez,fruit
08:01,Dr. Megan Green,dairy
08:01,Tonya Murray,spices
08:02,Andrea Lawrence,fruit
08:02,Anthony Sanchez,fruit
08:02,Dr. Megan Green,dairy
08:02,Tonya Murray,spices
08:02,Eric Brown,entrance
08:02,Christine Garner,entrance
08:03,Andrea Lawrence,fruit
08:03,Anthony Sanchez,fruit
08:03,Dr. Megan Green,dairy
08:03,Tonya Murray,fruit
08:03,Eric Brown,spices
08:03,Christine Garner,fruit
08:03,Lindsay Barrett,entrance
08:03,Ashley Kline,entrance
08:04,Andrea Lawrence,fruit
08:04,Anthony Sanchez,fruit
08:04,Dr. Megan Green,dairy
08:04,Tonya Murray,dairy
08:04,Eric Brown,fruit
08:04,Christine Garner,dairy
08:04,Lindsay Barrett,drinks
08:04,Ashley Kline,fruit
08:04,Sharon Woods,entrance
08:04,Thomas Adams,entrance
08:05,Andrea Lawrence,fruit
08:05,Anthony Sanchez,fruit
08:05,Dr. Megan Green,fruit
08:05,Tonya Murray,dairy
08:05,Eric Brown,fruit
08:05,Christine Garner,drinks
08:05,Lindsay Barrett,fruit
08:05,Ashley Kline,fruit
08:05,Sharon Woods,spices
08:05,Thomas Adams,fruit
08:06,Andrea Lawrence,fruit
08:06,Anthony Sanchez,fruit
08:06,Dr. Megan Green,drinks
08:06,Tonya Murray,dairy
08:06,Eric Brown,fruit
08:06,Christine Garner,checkout
08:06,Lindsay Barrett,fruit
08:06,Ashley Kline,checkout
08:06,Sharon Woods,dairy
08:06,Thomas Adams,fruit
08:06,David Preston,entrance
08:06,Jeffrey Moran,entrance
08:07,Andrea Lawrence,fruit
08:07,Anthony Sanchez,fruit
08:07,Dr. Megan Green,checkout
08:07,Tonya Murray,checkout
08:07,Eric Brown,checkout
08:07,Lindsay Barrett,checkout
08:07,Sharon Woods,fruit
08:07,Thomas Adams,checkout
08:07,David Preston,drinks
08:07,Jeffrey Moran,spices
08:07,Brandon Moss,entrance
08:08,Andrea Lawrence,fruit
08:08,Anthony Sanchez,fruit
08:08,Sharon Woods,checkout
08:08,David Preston,drinks
08:08,Jeffrey Moran,checkout
08:08,Brandon Moss,drinks
08:08,Christopher Bailey,entrance
08:08,Thomas Stewart,entrance
08:09,Andrea Lawrence,fruit
08:09,Anthony Sanchez,drinks
08:09,David Preston,drinks
08:09,Brandon Moss,drinks
08:09,Christopher Bailey,fruit
08:09,Thomas Stewart,fruit
08:09,Jacob Fritz,entrance
08:09,Christopher Hicks,entrance
08:10,Andrea Lawrence,fruit
08:10,Anthony Sanchez,drinks
08:10,David Preston,drinks
08:10,Brandon Moss,drinks
08:10,Christopher Bailey,checkout
08:10,Thomas Stewart,fruit
08:10,Jacob Fritz,spices
08:10,Christopher Hicks,drinks
08:10,Jenna Molina,entrance
08:10,Melissa Merritt,entrance
08:11,Andrea Lawrence,fruit
08:11,Anthony Sanchez,fruit
08:11,David Preston,drinks
08:11,Brandon Moss,drinks
08:11,Thomas Stewart,fruit
08:11,Jacob Fritz,spices
08:11,Christopher Hicks,drinks
08:11,Jenna Molina,spices
08:11,Melissa Merritt,spices
08:11,Stephen Brown,entrance
08:12,Andrea Lawrence,fruit
08:12,Anthony Sanchez,fruit
08:12,David Preston,drinks
08:12,Brandon Moss,drinks
08:12,Thomas Stewart,checkout
08:12,Jacob Fritz,dairy
08:12,Christopher Hicks,drinks
08:12,Jenna Molina,checkout
08:12,Melissa Merritt,spices
08:12,Stephen Brown,fruit
08:12,Kevin Lee,entrance
08:12,Lindsey Johnson MD,entrance
08:13,Andrea Lawrence,fruit
08:13,Anthony Sanchez,fruit
08:13,David Preston,checkout
08:13,Brandon Moss,checkout
08:13,Jacob Fritz,dairy
08:13,Christopher Hicks,drinks
08:13,Melissa Merritt,dairy
08:13,Stephen Brown,fruit
08:13,Kevin Lee,fruit
08:13,Lindsey Johnson MD,dairy
08:14,Andrea Lawrence,checkout
08:14,Anthony Sanchez,fruit
08:14,Jacob Fritz,dairy
08:14,Christopher Hicks,drinks
08:14,Melissa Merritt,dairy
08:14,Stephen Brown,fruit
08:14,Kevin Lee,fruit
08:14,Lindsey Johnson MD,dairy
08:14,Devin Beltran,entrance
08:14,Victor Cooley,entrance
08:15,Anthony Sanchez,fruit
08:15,Jacob Fritz,dairy
08:15,Christopher Hicks,drinks
08:15,Melissa Merritt,dairy
08:15,Stephen Brown,dairy
08:15,Kevin Lee,fruit
08:15,Lindsey Johnson MD,drinks
08:15,Devin Beltran,fruit
08:15,Victor Cooley,fruit
08:16,Anthony Sanchez,fruit
08:16,Jacob Fritz,dairy
08:16,Christopher Hicks,drinks
08:16,Melissa Merritt,dairy
08:16,Stephen Brown,dairy
08:16,Kevin Lee,fruit
08:16,Lindsey Johnson MD,fruit
08:16,Devin Beltran,checkout
08:16,Victor Cooley,fruit
08:16,Cynthia Hall,entrance
08:17,Anthony Sanchez,spices
08:17,Jacob Fritz,dairy
08:17,Christopher Hicks,drinks
08:17,Melissa Merritt,spices
08:17,Stephen Brown,dairy
08:17,Kevin Lee,fruit
08:17,Lindsey Johnson MD,checkout
08:17,Victor Cooley,checkout
08:17,Cynthia Hall,drinks
08:17,Kevin Hill,entrance
08:18,Anthony Sanchez,spices
08:18,Jacob Fritz,dairy
08:18,Christopher Hicks,spices
08:18,Melissa Merritt,dairy
08:18,Stephen Brown,fruit
08:18,Kevin Lee,fruit
08:18,Cynthia Hall,drinks
08:18,Kevin Hill,fruit
08:18,Julia Hernandez,entrance
08:18,Kimberly Hall,entrance
08:19,Anthony Sanchez,drinks
08:19,Jacob Fritz,dairy
08:19,Christopher Hicks,drinks
08:19,Melissa Merritt,dairy
08:19,Stephen Brown,fruit
08:19,Kevin Lee,fruit
08:19,Cynthia Hall,drinks
08:19,Kevin Hill,fruit
08:19,Julia Hernandez,spices
08:19,Kimberly Hall,dairy
08:19,Becky Hernandez,entrance
08:20,Anthony Sanchez,drinks
08:20,Jacob Fritz,checkout
08:20,Christopher Hicks,checkout
08:20,Melissa Merritt,dairy
08:20,Stephen Brown,checkout
08:20,Kevin Lee,fruit
08:20,Cynthia Hall,drinks
08:20,Kevin Hill,fruit
08:20,Julia Hernandez,spices
08:20,Kimberly Hall,dairy
08:20,Becky Hernandez,dairy
08:21,Anthony Sanchez,drinks
08:21,Melissa Merritt,dairy
08:21,Kevin Lee,fruit
08:21,Cynthia Hall,drinks
08:21,Kevin Hill,fruit
08:21,Julia Hernandez,dairy
08:21,Kimberly Hall,dairy
08:21,Becky Hernandez,dairy
08:21,Kelly Holder,entrance
08:22,Anthony Sanchez,drinks
08:22,Melissa Merritt,dairy
08:22,Kevin Lee,drinks
08:22,Cynthia Hall,fruit
08:22,Kevin Hill,checkout
08:22,Julia Hernandez,dairy
08:22,Kimberly Hall,dairy
08:22,Becky Hernandez,dairy
08:22,Kelly Holder,fruit
08:23,Anthony Sanchez,spices
08:23,Melissa Merritt,fruit
08:23,Kevin Lee,drinks
08:23,Cynthia Hall,dairy
08:23,Julia Hernandez,dairy
08:23,Kimberly Hall,dairy
08:23,Becky Hernandez,dairy
08:23,Kelly Holder,fruit
08:23,Bradley Lopez,entrance
08:23,Yvonne Baldwin,entrance
08:24,Anthony Sanchez,spices
08:24,Melissa Merritt,spices
08:24,Kevin Lee,drinks
08:24,Cynthia Hall,dairy
08:24,Julia Hernandez,dairy
08:24,Kimberly Hall,dairy
08:24,Becky Hernandez,dairy
08:24,Kelly Holder,fruit
08:24,Bradley Lopez,dairy
08:24,Yvonne Baldwin,fruit
08:25,Anthony Sanchez,drinks
08:25,Melissa Merritt,fruit
08:25,Kevin Lee,checkout
08:25,Cynthia Hall,drinks
08:25,Julia Hernandez,dairy
08:25,Kimberly Hall,dairy
08:25,Becky Hernandez,drinks
08:25,Kelly Holder,fruit
08:25,Bradley Lopez,dairy
08:25,Yvonne Baldwin,checkout
08:25,April Figueroa,entrance
08:26,Anthony Sanchez,drinks
08:26,Melissa Merritt,drinks
08:26,Cynthia Hall,drinks
08:26,Julia Hernandez,dairy
08:26,Kimberly Hall,dairy
08:26,Becky Hernandez,spices
08:26,Kelly Holder,checkout
08:26,Bradley Lopez,dairy
08:26,April Figueroa,drinks
08:27,Anthony Sanchez,spices
08:27,Melissa Merritt,drinks
08:27,Cynthia Hall,spices
08:27,Julia Hernandez,checkout
08:27,Kimberly Hall,dairy
08:27,Becky Hernandez,spices
08:27,Bradley Lopez,dairy
08:27,April Figueroa,drinks
08:27,Deborah Ortiz,entrance
08:28,Anthony Sanchez,spices
08:28,Melissa Merritt,spices
08:28,Cynthia Hall,spices
08:28,Kimberly Hall,dairy
08:28,Becky Hernandez,spices
08:28,Bradley Lopez,dairy
08:28,April Figueroa,fruit
08:28,Deborah Ortiz,dairy
08:28,Jennifer Armstrong,entrance
08:29,Anthony Sanchez,drinks
08:29,Melissa Merritt,spices
08:29,Cynthia Hall,dairy
08:29,Kimberly Hall,dairy
08:29,Becky Hernandez,spices
08:29,Bradley Lopez,dairy
08:29,April Figueroa,fruit
08:29,Deborah Ortiz,dairy
08:29,Jennifer Armstrong,fruit
08:29,Christian Gonzalez,entrance
08:30,Anthony Sanchez,checkout
08:30,Melissa Merritt,spices
08:30,Cynthia Hall,dairy
08:30,Kimberly Hall,fruit
08:30,Becky Hernandez,dairy
08:30,Bradley Lopez,dairy
08:30,April Figueroa,drinks
08:30,Deborah Ortiz,dairy
08:30,Jennifer Armstrong,fruit
08:30,Christian Gonzalez,spices
08:30,Joseph Cole,entrance
08:31,Melissa Merritt,spices
08:31,Cynthia Hall,dairy
08:31,Kimberly Hall,fruit
08:31,Becky Hernandez,drinks
08:31,Bradley Lopez,dairy
08:31,April Figueroa,spices
08:31,Deborah Ortiz,dairy
08:31,Jennifer Armstrong,spices
08:31,Christian Gonzalez,drinks
08:31,Joseph Cole,fruit
08:31,Tanya Becker,entrance
08:31,Heather White,entrance
08:32,Melissa Merritt,spices
08:32,Cynthia Hall,dairy
08:32,Kimberly Hall,drinks
08:32,Becky Hernandez,drinks
08:32,Bradley Lopez,dairy
08:32,April Figueroa,spices
08:32,Deborah Ortiz,dairy
08:32,Jennifer Armstrong,dairy
08:32,Christian Gonzalez,drinks
08:32,Joseph Cole,fruit
08:32,Tanya Becker,fruit
08:32,Heather White,dairy
08:32,Charles Brown,entrance
08:33,Melissa Merritt,spices
08:33,Cynthia Hall,dairy
08:33,Kimberly Hall,drinks
08:33,Becky Hernandez,checkout
